SAMPLE POINT;DATE;Rain (mm)
MMS01;23/7/2011;0
MMS01;24/7/2011;0
MMS01;25/7/2011;0
MMS01;26/7/2011;3
MMS01;27/7/2011;0
MMS01;28/7/2011;0
MMS01;29/7/2011;0
MMS01;30/7/2011;0
MMS01;31/7/2011;0
MMS01;1/8/2011;0,4
MMS01;2/8/2011;0,6
MMS01;3/8/2011;0
MMS01;4/8/2011;0
MMS01;5/8/2011;0
MMS01;6/8/2011;0,6
MMS01;7/8/2011;0
MMS01;8/8/2011;0
MMS01;9/8/2011;0
MMS01;10/8/2011;10,6
MMS01;11/8/2011;5,4
MMS01;12/8/2011;0
MMS01;13/8/2011;0
MMS01;14/8/2011;0
MMS01;15/8/2011;0
MMS01;16/8/2011;0
MMS01;17/8/2011;0
MMS01;18/8/2011;0
MMS01;19/8/2011;0
MMS01;20/8/2011;0
MMS01;21/8/2011;0
MMS01;22/8/2011;0
MMS01;23/8/2011;0
MMS01;24/8/2011;0
MMS01;25/8/2011;0
MMS01;26/8/2011;0
MMS01;27/8/2011;0
MMS01;28/8/2011;0
MMS01;29/8/2011;0
MMS01;30/8/2011;0
MMS01;31/8/2011;0
MMS01;1/9/2011;0
MMS01;2/9/2011;0
MMS01;3/9/2011;0
MMS01;4/9/2011;0
MMS01;5/9/2011;0
MMS01;6/9/2011;0
MMS01;7/9/2011;6,4
MMS01;8/9/2011;0
MMS01;9/9/2011;0
MMS01;10/9/2011;0
MMS01;11/9/2011;0
MMS01;12/9/2011;0
MMS01;13/9/2011;0
MMS01;14/9/2011;0
MMS01;15/9/2011;0
MMS01;16/9/2011;0
MMS01;17/9/2011;0
MMS01;18/9/2011;0
MMS01;19/9/2011;0
MMS01;20/9/2011;0
MMS01;21/9/2011;33
MMS01;22/9/2011;2,2
MMS01;23/9/2011;0
MMS01;24/9/2011;0
MMS01;25/9/2011;0
MMS01;26/9/2011;0
MMS01;27/9/2011;0
MMS01;28/9/2011;0
MMS01;29/9/2011;0
MMS01;30/9/2011;0
MMS01;1/10/2011;0
MMS01;2/10/2011;0
MMS01;3/10/2011;0
MMS01;4/10/2011;0
MMS01;5/10/2011;0
MMS01;6/10/2011;0
MMS01;7/10/2011;0
MMS01;8/10/2011;0
MMS01;9/10/2011;6
MMS01;10/10/2011;25,4
MMS01;11/10/2011;0,2
MMS01;12/10/2011;0
MMS01;13/10/2011;5,8
MMS01;14/10/2011;6
MMS01;15/10/2011;2,4
MMS01;16/10/2011;8
MMS01;17/10/2011;0,8
MMS01;18/10/2011;0
MMS01;19/10/2011;0
MMS01;20/10/2011;0
MMS01;21/10/2011;0
MMS01;22/10/2011;0
MMS01;23/10/2011;0
MMS01;24/10/2011;0
MMS01;25/10/2011;0
